V1,V2
2007-03-28 12:41:00,468.15
2007-03-28 12:42:00,468.15
2007-03-28 12:43:00,468.33
2007-03-28 12:44:00,468.24
2007-03-28 12:45:00,468.69
2007-03-28 12:46:00,468.97
2007-03-28 12:47:00,468.88
2007-03-28 12:48:00,468.6
2007-03-28 12:49:00,468.42
2007-03-28 12:50:00,468.34
2007-03-28 12:51:00,468.15
2007-03-28 12:52:00,468.06
2007-03-28 12:53:00,468.15
2007-03-28 12:54:00,467.69
2007-03-28 12:55:00,467.88
2007-03-28 12:56:00,467.6
2007-03-28 12:57:00,467.88
2007-03-28 12:58:00,467.78
2007-03-28 12:59:00,467.78
2007-03-28 13:00:00,467.6
2007-03-28 13:01:00,467.24
2007-03-28 13:02:00,467.15
2007-03-28 13:03:00,466.96
2007-03-28 13:04:00,467.06
2007-03-28 13:05:00,466.96
2007-03-28 13:06:00,466.96
2007-03-28 13:07:00,467.06
2007-03-28 13:08:00,467.24
2007-03-28 13:09:00,467.15
2007-03-28 13:10:00,467.24
2007-03-28 13:11:00,467.51
2007-03-28 13:12:00,467.33
2007-03-28 13:13:00,467.33
2007-03-28 13:14:00,466.69
2007-03-28 13:15:00,466.6
2007-03-28 13:16:00,466.51
2007-03-28 13:17:00,466.42
2007-03-28 13:18:00,466.69
2007-03-28 13:19:00,466.86
2007-03-28 13:20:00,466.78
2007-03-28 13:21:00,466.51
2007-03-28 13:22:00,466.35
2007-03-28 13:23:00,466.78
2007-03-28 13:24:00,466.78
2007-03-28 13:25:00,466.96
2007-03-28 13:26:00,466.78
2007-03-28 13:27:00,466.6
2007-03-28 13:28:00,466.24
2007-03-28 13:29:00,466.33
2007-03-28 13:30:00,466.33
2007-03-28 13:31:00,466.24
2007-03-28 13:32:00,466.33
2007-03-28 13:33:00,466.42
2007-03-28 13:34:00,466.42
2007-03-28 13:35:00,466.96
2007-03-28 13:36:00,466.87
2007-03-28 13:37:00,466.96
2007-03-28 13:38:00,467.15
2007-03-28 13:39:00,467.42
2007-03-28 13:40:00,467.6
2007-03-28 13:41:00,467.69
2007-03-28 13:42:00,468.06
2007-03-28 13:43:00,467.97
2007-03-28 13:44:00,467.78
2007-03-28 13:45:00,468.24
2007-03-28 13:46:00,467.97
2007-03-28 13:47:00,467.69
2007-03-28 13:48:00,467.69
2007-03-28 13:49:00,467.69
2007-03-28 13:50:00,467.69
2007-03-28 13:51:00,467.15
2007-03-28 13:52:00,466.87
2007-03-28 13:53:00,466.69
2007-03-28 13:54:00,466.6
2007-03-28 13:55:00,466.6
2007-03-28 13:56:00,466.6
2007-03-28 13:57:00,466.51
2007-03-28 13:58:00,466.96
2007-03-28 13:59:00,466.78
2007-03-28 14:00:00,466.87
2007-03-28 14:01:00,467.06
2007-03-28 14:02:00,467.15
2007-03-28 14:03:00,467.42
2007-03-28 14:04:00,466.42
2007-03-28 14:05:00,466.33
2007-03-28 14:06:00,466.15
2007-03-28 14:07:00,466.24
2007-03-28 14:08:00,466.33
2007-03-28 14:09:00,465.96
2007-03-28 14:10:00,465.33
2007-03-28 14:11:00,465.24
2007-03-28 14:12:00,465.24
2007-03-28 14:13:00,465.14
2007-03-28 14:14:00,465.05
2007-03-28 14:15:00,465.14
2007-03-28 14:16:00,465.51
2007-03-28 14:17:00,465.33
2007-03-28 14:18:00,465.42
2007-03-28 14:19:00,465.42
2007-03-28 14:20:00,465.24
2007-03-28 14:21:00,464.96
2007-03-28 14:22:00,464.78
2007-03-28 14:23:00,465.05
2007-03-28 14:24:00,464.78
2007-03-28 14:25:00,464.69
2007-03-28 14:26:00,464.96
2007-03-28 14:27:00,464.95
2007-03-28 14:28:00,464.96
2007-03-28 14:29:00,464.69
2007-03-28 14:30:00,464.78
2007-03-28 14:31:00,464.51
2007-03-28 14:32:00,464.96
2007-03-28 14:33:00,464.87
2007-03-28 14:34:00,464.78
2007-03-28 14:35:00,465.05
2007-03-28 14:36:00,464.96
2007-03-28 14:37:00,464.51
2007-03-28 14:38:00,464.53
2007-03-28 14:39:00,464.6
2007-03-28 14:40:00,464.6
2007-03-28 14:41:00,464.78
2007-03-28 14:42:00,465.14
2007-03-28 14:43:00,465.51
2007-03-28 14:44:00,465.05
2007-03-28 14:45:00,464.78
2007-03-28 14:46:00,464.6
2007-03-28 14:47:00,464.69
2007-03-28 14:48:00,464.87
2007-03-28 14:49:00,464.69
2007-03-28 14:50:00,464.96
2007-03-28 14:51:00,464.51
2007-03-28 14:52:00,464.05
2007-03-28 14:53:00,464.33
2007-03-28 14:54:00,464.23
2007-03-28 14:55:00,464.28
2007-03-28 14:56:00,464.33
2007-03-28 14:57:00,464.6
2007-03-28 14:58:00,464.42
2007-03-28 14:59:00,464.51
2007-03-28 15:00:00,464.51
2007-03-28 15:01:00,464.92
2007-03-28 15:02:00,464.83
2007-03-28 15:03:00,464.69
2007-03-28 15:04:00,464.96
2007-03-28 15:05:00,465.05
2007-03-28 15:06:00,465.14
2007-03-28 15:07:00,465.14
2007-03-28 15:08:00,465.05
2007-03-28 15:09:00,465.24
2007-03-28 15:10:00,464.78
2007-03-28 15:11:00,465.01
2007-03-28 15:12:00,465.14
2007-03-28 15:13:00,465.33
2007-03-28 15:14:00,465.14
2007-03-28 15:15:00,464.96
2007-03-28 15:16:00,465.14
2007-03-28 15:17:00,465.14
2007-03-28 15:18:00,465.05
2007-03-28 15:19:00,464.42
2007-03-28 15:20:00,464.51
2007-03-28 15:21:00,464.51
2007-03-28 15:22:00,464.33
